Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
4,68,209.969,129.195,0,2.593,1.549,2.953,6.217,14.094,0.009
4,69,209.990,128.201,0,2.731,1.544,2.930,6.132,13.816,0.018
4,70,210.062,127.003,0,2.494,1.537,2.927,6.176,14.084,0.011
4,71,209.936,126.143,0,2.497,1.557,2.986,6.321,14.407,0.007
4,72,209.987,125.132,0,2.639,1.555,2.978,6.293,14.324,0.010
4,73,209.988,123.930,0,2.398,1.541,2.935,6.190,14.097,0.010
4,74,210.008,122.929,0,2.557,1.531,2.900,6.083,13.778,0.011
4,75,209.999,121.930,0,2.515,1.527,2.884,6.032,13.631,0.012
4,76,210.013,120.887,0,2.485,1.523,2.866,5.970,13.426,0.012
4,77,209.706,120.145,0,2.576,1.557,2.930,6.025,13.236,0.014
4,78,209.664,119.229,0,2.597,1.524,2.814,5.669,12.190,0.023
4,79,209.691,118.324,0,2.690,1.522,2.801,5.617,12.010,0.020
4,80,209.924,117.251,0,2.639,1.551,2.965,6.256,14.215,0.009
4,81,209.668,116.332,0,2.824,1.542,2.863,5.783,12.435,0.017
4,82,209.652,115.426,0,2.754,1.529,2.818,5.648,12.046,0.011
4,83,209.667,114.551,0,2.704,1.512,2.765,5.505,11.678,0.016
4,84,209.653,113.946,0,2.542,1.539,2.910,6.067,13.606,0.011
4,85,209.685,112.745,0,2.703,1.570,2.969,6.118,13.443,0.011
4,86,209.975,111.756,0,2.656,1.542,2.922,6.112,13.771,0.008
4,87,209.965,110.899,0,2.605,1.542,2.935,6.184,14.066,0.010
4,88,209.776,110.126,0,2.738,1.526,2.830,5.741,12.458,0.022
4,89,209.671,109.261,0,2.790,1.547,2.899,5.930,12.959,0.023
4,90,209.945,108.347,0,2.572,1.544,2.928,6.115,13.742,0.010
4,91,209.977,107.325,0,2.715,1.528,2.876,5.973,13.365,0.016
4,92,209.934,106.439,0,2.677,1.532,2.885,5.991,13.387,0.012
4,93,209.738,105.572,0,2.755,1.529,2.820,5.653,12.052,0.019
4,94,209.938,104.522,0,2.604,1.527,2.867,5.939,13.245,0.008
4,95,209.648,103.658,0,2.766,1.517,2.785,5.570,11.880,0.016
4,96,209.581,102.666,0,2.772,1.516,2.787,5.588,11.959,0.016
4,97,209.525,101.865,0,2.825,1.530,2.846,5.790,12.612,0.013
4,98,209.359,101.084,0,2.650,1.547,2.933,6.121,13.735,0.009
4,99,209.371,100.159,0,2.723,1.552,2.931,6.070,13.481,0.008
4,100,209.276,99.293,0,2.794,1.537,2.878,5.910,13.012,0.020
4,101,209.270,98.421,0,2.690,1.512,2.789,5.643,12.246,0.026
4,102,209.143,97.507,0,2.725,1.513,2.807,5.727,12.569,0.017
4,103,209.155,96.737,0,2.568,1.541,2.894,5.959,13.160,0.008
4,104,209.105,95.836,0,2.571,1.536,2.890,5.990,13.363,0.011
4,105,209.138,94.978,0,2.719,1.538,2.913,6.099,13.774,0.016
4,106,208.970,94.244,0,2.551,1.559,2.979,6.272,14.204,0.008
4,107,209.052,93.393,0,2.710,1.524,2.847,5.856,12.957,0.020
4,108,209.005,92.469,0,2.764,1.534,2.872,5.902,13.014,0.010
4,109,208.998,91.611,0,2.848,1.549,2.931,6.093,13.605,0.015
4,110,209.081,90.755,0,2.720,1.522,2.844,5.856,12.982,0.010
4,111,209.015,90.129,0,2.688,1.572,3.032,6.448,14.747,0.010
4,112,209.069,89.188,0,2.742,1.544,2.924,6.099,13.682,0.010
4,113,209.137,88.322,0,2.720,1.531,2.866,5.902,13.063,0.016
4,114,209.136,87.420,0,2.704,1.511,2.795,5.682,12.410,0.014
4,115,209.181,86.692,0,2.851,1.511,2.789,5.644,12.256,0.015
4,116,209.210,85.872,0,2.664,1.541,2.901,6.002,13.336,0.010
4,117,209.287,85.095,0,2.662,1.530,2.880,5.980,13.374,0.009
4,118,209.228,84.188,0,2.855,1.560,2.968,6.202,13.904,0.016
4,119,209.258,83.410,0,2.742,1.529,2.847,5.815,12.727,0.017
4,120,209.350,82.567,0,2.976,1.533,2.853,5.804,12.625,0.033
4,121,209.367,81.780,0,2.834,1.518,2.802,5.659,12.235,0.014
4,122,209.363,81.136,0,2.750,1.554,2.943,6.118,13.642,0.007
4,123,209.453,80.272,0,2.906,1.551,2.916,6.000,13.211,0.015
